name,email,department name,phone number,role
Shanna Florio,bladerunnerperftest01@mailinator.com,City Commission on Human Rights,311,Portal Administrator
Willene Helfer,bladerunnerperftest02@mailinator.com,City Commission on Human Rights,311,Portal Administrator
Romeo Ptak,bladerunnerperftest03@mailinator.com,City Commission on Human Rights,311,Portal Administrator
Lashay Schwager,bladerunnerperftest04@mailinator.com,City Commission on Human Rights,311,Portal Administrator
Alex Paull,bladerunnerperftest05@mailinator.com,City Commission on Human Rights,311,Agency Administrator
Zina Laverty,bladerunnerperftest06@mailinator.com,City Commission on Human Rights,311,Agency Administrator
Pete Chitty,bladerunnerperftest07@mailinator.com,City Commission on Human Rights,311,Agency Administrator
Gayle Bonanno,bladerunnerperftest08@mailinator.com,City Commission on Human Rights,311,Agency Administrator
Amy Alli,bladerunnerperftest09@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Malik Higham,bladerunnerperftest10@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Shirlee Counce,bladerunnerperftest11@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Nery Bozarth,bladerunnerperftest12@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Pia Hasler,bladerunnerperftest13@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Robbin Tews,bladerunnerperftest14@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Phillip Killough,bladerunnerperftest15@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Madge Bohn,bladerunnerperftest16@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Catarina Kerwin,bladerunnerperftest17@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Sandee Jansson,bladerunnerperftest18@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Nova Cates,bladerunnerperftest19@mailinator.com,City Commission on Human Rights,311,Agency FOIL Officer
Tabetha Caulder,bladerunnerperftest20@mailinator.com,City Commission on Human Rights,311,Agency Helpers
Elton Boddy,bladerunnerperftest21@mailinator.com,City Commission on Human Rights,311,Agency Helpers
Melvin Picou,bladerunnerperftest22@mailinator.com,City Commission on Human Rights,311,Agency Helpers
Season Teeters,bladerunnerperftest23@mailinator.com,City Commission on Human Rights,311,Agency Helpers
Bernard Bisson,bladerunnerperftest24@mailinator.com,City Commission on Human Rights,311,Agency Helpers
